Vértice: 1, Pai: -1, Nível: 0
Vértice: 2, Pai: -1, Nível: -1
Vértice: 3, Pai: -1, Nível: -1
Vértice: 4, Pai: -1, Nível: -1
Vértice: 5, Pai: -1, Nível: -1
Vértice: 6, Pai: -1, Nível: -1
Vértice: 7, Pai: -1, Nível: -1
Vértice: 8, Pai: -1, Nível: -1
Vértice: 9, Pai: -1, Nível: -1
Vértice: 10, Pai: -1, Nível: -1
Vértice: 11, Pai: -1, Nível: -1
Vértice: 12, Pai: -1, Nível: -1
Vértice: 13, Pai: -1, Nível: -1
Vértice: 14, Pai: -1, Nível: -1
Vértice: 15, Pai: -1, Nível: -1
Vértice: 16, Pai: -1, Nível: -1
Vértice: 17, Pai: -1, Nível: -1
Vértice: 18, Pai: -1, Nível: -1
Vértice: 19, Pai: -1, Nível: -1
Vértice: 20, Pai: -1, Nível: -1
Vértice: 21, Pai: 20077, Nível: 4
Vértice: 22, Pai: -1, Nível: -1
Vértice: 23, Pai: -1, Nível: -1
Vértice: 24, Pai: -1, Nível: -1
Vértice: 25, Pai: -1, Nível: -1
Vértice: 26, Pai: -1, Nível: -1
Vértice: 27, Pai: -1, Nível: -1
Vértice: 28, Pai: -1, Nível: -1
Vértice: 29, Pai: -1, Nível: -1
Vértice: 30, Pai: -1, Nível: -1
Vértice: 31, Pai: -1, Nível: -1
Vértice: 32, Pai: -1, Nível: -1
Vértice: 33, Pai: -1, Nível: -1
Vértice: 34, Pai: -1, Nível: -1
Vértice: 35, Pai: -1, Nível: -1
Vértice: 36, Pai: -1, Nível: -1
Vértice: 37, Pai: -1, Nível: -1
Vértice: 38, Pai: -1, Nível: -1
Vértice: 39, Pai: -1, Nível: -1
Vértice: 40, Pai: -1, Nível: -1
Vértice: 41, Pai: -1, Nível: -1
Vértice: 42, Pai: -1, Nível: -1
Vértice: 43, Pai: -1, Nível: -1
Vértice: 44, Pai: -1, Nível: -1
Vértice: 45, Pai: -1, Nível: -1
Vértice: 46, Pai: -1, Nível: -1
Vértice: 47, Pai: -1, Nível: -1
Vértice: 48, Pai: -1, Nível: -1
Vértice: 49, Pai: -1, Nível: -1
Vértice: 50, Pai: -1, Nível: -1
Vértice: 51, Pai: -1, Nível: -1
Vértice: 52, Pai: -1, Nível: -1
Vértice: 53, Pai: -1, Nível: -1
Vértice: 54, Pai: -1, Nível: -1
Vértice: 55, Pai: -1, Nível: -1
Vértice: 56, Pai: -1, Nível: -1
Vértice: 57, Pai: -1, Nível: -1
Vértice: 58, Pai: -1, Nível: -1
Vértice: 59, Pai: -1, Nível: -1
Vértice: 60, Pai: -1, Nível: -1
Vértice: 61, Pai: -1, Nível: -1
Vértice: 62, Pai: -1, Nível: -1
Vértice: 63, Pai: -1, Nível: -1
Vértice: 64, Pai: -1, Nível: -1
Vértice: 65, Pai: -1, Nível: -1
Vértice: 66, Pai: -1, Nível: -1
Vértice: 67, Pai: 36588, Nível: 3
Vértice: 68, Pai: -1, Nível: -1
Vértice: 69, Pai: -1, Nível: -1
Vértice: 70, Pai: -1, Nível: -1
Vértice: 71, Pai: -1, Nível: -1
Vértice: 72, Pai: -1, Nível: -1
Vértice: 73, Pai: -1, Nível: -1
Vértice: 74, Pai: 26307, Nível: 4
Vértice: 75, Pai: -1, Nível: -1
Vértice: 76, Pai: -1, Nível: -1
Vértice: 77, Pai: 46240, Nível: 3
Vértice: 78, Pai: -1, Nível: -1
Vértice: 79, Pai: -1, Nível: -1
Vértice: 80, Pai: -1, Nível: -1
Vértice: 81, Pai: -1, Nível: -1
Vértice: 82, Pai: -1, Nível: -1
Vértice: 83, Pai: -1, Nível: -1
Vértice: 84, Pai: -1, Nível: -1
Vértice: 85, Pai: -1, Nível: -1
Vértice: 86, Pai: -1, Nível: -1
Vértice: 87, Pai: -1, Nível: -1
Vértice: 88, Pai: -1, Nível: -1
Vértice: 89, Pai: -1, Nível: -1
Vértice: 90, Pai: 23997, Nível: 2
Vértice: 91, Pai: 49265, Nível: 2
Vértice: 92, Pai: -1, Nível: -1
Vértice: 93, Pai: -1, Nível: -1
Vértice: 94, Pai: -1, Nível: -1
Vértice: 95, Pai: -1, Nível: -1
Vértice: 96, Pai: -1, Nível: -1
Vértice: 97, Pai: -1, Nível: -1
Vértice: 98, Pai: -1, Nível: -1
Vértice: 99, Pai: 27928, Nível: 3
Vértice: 100, Pai: -1, Nível: -1
Vértice: 101, Pai: 21268, Nível: 3
Vértice: 102, Pai: -1, Nível: -1
Vértice: 103, Pai: -1, Nível: -1
Vértice: 104, Pai: -1, Nível: -1
Vértice: 105, Pai: -1, Nível: -1
Vértice: 106, Pai: -1, Nível: -1
Vértice: 107, Pai: -1, Nível: -1
Vértice: 108, Pai: 3939, Nível: 4
Vértice: 109, Pai: -1, Nível: -1
Vértice: 110, Pai: -1, Nível: -1
Vértice: 111, Pai: -1, Nível: -1
Vértice: 112, Pai: -1, Nível: -1
Vértice: 113, Pai: -1, Nível: -1
Vértice: 114, Pai: -1, Nível: -1
Vértice: 115, Pai: -1, Nível: -1
Vértice: 116, Pai: -1, Nível: -1
Vértice: 117, Pai: 37219, Nível: 3
Vértice: 118, Pai: 2012, Nível: 4
Vértice: 119, Pai: -1, Nível: -1
