Vértice: 212597, Pai: 158102, Nível: 2796
Vértice: 239370, Pai: 217144, Nível: 3660
Vértice: 299239, Pai: 5765, Nível: 3962
Vértice: 215076, Pai: 241042, Nível: 4229
Vértice: 361500, Pai: 115360, Nível: 5627
Vértice: 173761, Pai: 283990, Nível: 5653
Vértice: 69359, Pai: 89478, Nível: 6430
Vértice: 152360, Pai: 45844, Nível: 6620
Vértice: 71048, Pai: 153350, Nível: 6872
Vértice: 153350, Pai: 131601, Nível: 6871
Vértice: 374626, Pai: 157079, Nível: 6996
Vértice: 157079, Pai: 291995, Nível: 6995
Vértice: 291995, Pai: 349776, Nível: 6994
Vértice: 330846, Pai: 166994, Nível: 7861
Vértice: 166994, Pai: 290668, Nível: 7860
Vértice: 335893, Pai: 167986, Nível: 8011
Vértice: 67216, Pai: 316156, Nível: 8230
Vértice: 316156, Pai: 275661, Nível: 8229
Vértice: 3455, Pai: 121149, Nível: 8311
Vértice: 330740, Pai: 290127, Nível: 8561
Vértice: 357586, Pai: 119229, Nível: 8746
Vértice: 100771, Pai: 320545, Nível: 8836
Vértice: 320545, Pai: 155301, Nível: 8835
Vértice: 85805, Pai: 24055, Nível: 9082
Vértice: 24055, Pai: 316965, Nível: 9081
Vértice: 316965, Pai: 87647, Nível: 9080
Vértice: 121309, Pai: 215264, Nível: 9299
Vértice: 215264, Pai: 253209, Nível: 9298
Vértice: 3872, Pai: 255809, Nível: 9772
Vértice: 13054, Pai: 221991, Nível: 9945
Vértice: 332157, Pai: 77191, Nível: 10017
Vértice: 77191, Pai: 2574, Nível: 10016
Vértice: 172056, Pai: 93958, Nível: 10039
Vértice: 98969, Pai: 336375, Nível: 10255
Vértice: 26989, Pai: 318569, Nível: 10345
Vértice: 366664, Pai: 292305, Nível: 10578
Vértice: 198295, Pai: 113326, Nível: 10607
Vértice: 198563, Pai: 248612, Nível: 10700
Vértice: 238578, Pai: 300682, Nível: 11001
Vértice: 300682, Pai: 226140, Nível: 11000
Vértice: 133159, Pai: 288970, Nível: 11120
Vértice: 65147, Pai: 7954, Nível: 11690
Vértice: 243136, Pai: 184935, Nível: 11759
Vértice: 347065, Pai: 334852, Nível: 11957
Vértice: 28855, Pai: 156527, Nível: 12316
Vértice: 229152, Pai: 263278, Nível: 12345
Vértice: 207437, Pai: 128689, Nível: 12432
Vértice: 111431, Pai: 125259, Nível: 12521
Vértice: 125259, Pai: 137545, Nível: 12520
Vértice: 178098, Pai: 326586, Nível: 12556
Vértice: 203535, Pai: 48934, Nível: 12621
Vértice: 34676, Pai: 125552, Nível: 12736
Vértice: 81816, Pai: 30083, Nível: 12849
Vértice: 30083, Pai: 235240, Nível: 12848
Vértice: 268321, Pai: 216997, Nível: 12999
Vértice: 216997, Pai: 208393, Nível: 12998
Vértice: 208393, Pai: 281106, Nível: 12997
Vértice: 281106, Pai: 282624, Nível: 12996
Vértice: 39841, Pai: 351220, Nível: 13022
Vértice: 225453, Pai: 68162, Nível: 13324
Vértice: 107518, Pai: 40587, Nível: 13393
Vértice: 330554, Pai: 353254, Nível: 13512
Vértice: 334635, Pai: 226947, Nível: 13566
Vértice: 90375, Pai: 129874, Nível: 13634
Vértice: 314700, Pai: 5567, Nível: 13768
Vértice: 49420, Pai: 372771, Nível: 13833
Vértice: 372771, Pai: 178959, Nível: 13832
Vértice: 341781, Pai: 239844, Nível: 13898
Vértice: 46233, Pai: 324391, Nível: 13941
Vértice: 363511, Pai: 327561, Nível: 14136
Vértice: 33671, Pai: 211159, Nível: 14197
Vértice: 211159, Pai: 245540, Nível: 14196
Vértice: 185654, Pai: 298786, Nível: 14417
Vértice: 356479, Pai: 12079, Nível: 14473
Vértice: 40008, Pai: 252891, Nível: 14525
Vértice: 252891, Pai: 26323, Nível: 14524
Vértice: 168399, Pai: 55632, Nível: 14694
Vértice: 83680, Pai: 159697, Nível: 14831
Vértice: 119347, Pai: 37569, Nível: 14839
Vértice: 37569, Pai: 52291, Nível: 14838
Vértice: 101928, Pai: 21286, Nível: 14910
Vértice: 149771, Pai: 53036, Nível: 14921
Vértice: 333978, Pai: 341099, Nível: 15054
Vértice: 144279, Pai: 179273, Nível: 15069
Vértice: 179273, Pai: 20943, Nível: 15068
Vértice: 20943, Pai: 158252, Nível: 15067
Vértice: 227401, Pai: 7098, Nível: 15192
Vértice: 73744, Pai: 311746, Nível: 15260
Vértice: 311746, Pai: 33457, Nível: 15259
Vértice: 33457, Pai: 349882, Nível: 15258
Vértice: 157130, Pai: 19718, Nível: 15263
Vértice: 355469, Pai: 184180, Nível: 15571
Vértice: 116337, Pai: 282634, Nível: 15959
Vértice: 282634, Pai: 242774, Nível: 15958
Vértice: 246084, Pai: 74363, Nível: 16061
Vértice: 111502, Pai: 86532, Nível: 16064
Vértice: 86532, Pai: 309759, Nível: 16063
Vértice: 309759, Pai: 272502, Nível: 16062
Vértice: 79960, Pai: 372566, Nível: 16079
Vértice: 164052, Pai: 348660, Nível: 16087
Vértice: 348660, Pai: 60747, Nível: 16086
Vértice: 136045, Pai: 158479, Nível: 16102
Vértice: 174662, Pai: 118630, Nível: 16235
Vértice: 118630, Pai: 98414, Nível: 16234
Vértice: 98414, Pai: 39383, Nível: 16233
Vértice: 97458, Pai: 128878, Nível: 16240
Vértice: 158267, Pai: 143686, Nível: 16278
Vértice: 143686, Pai: 363579, Nível: 16277
Vértice: 80735, Pai: 74007, Nível: 16344
Vértice: 74007, Pai: 286815, Nível: 16343
Vértice: 102591, Pai: 205776, Nível: 16387
Vértice: 205776, Pai: 272950, Nível: 16386
Vértice: 368046, Pai: 174884, Nível: 16406
Vértice: 174884, Pai: 185565, Nível: 16405
Vértice: 320937, Pai: 366236, Nível: 16453
Vértice: 49919, Pai: 176524, Nível: 16511
Vértice: 197275, Pai: 49753, Nível: 16519
Vértice: 310808, Pai: 339403, Nível: 16563
Vértice: 53527, Pai: 1400, Nível: 16584
Vértice: 1400, Pai: 247811, Nível: 16583
Vértice: 77098, Pai: 337962, Nível: 16690
Vértice: 337962, Pai: 71783, Nível: 16689
Vértice: 323005, Pai: 290820, Nível: 16725
Vértice: 288254, Pai: 256753, Nível: 16793
Vértice: 305788, Pai: 88675, Nível: 16826
Vértice: 230348, Pai: 150773, Nível: 16928
Vértice: 360870, Pai: 58776, Nível: 16999
Vértice: 367425, Pai: 134441, Nível: 17024
Vértice: 166630, Pai: 231807, Nível: 17139
Vértice: 213992, Pai: 212918, Nível: 17298
Vértice: 139907, Pai: 213191, Nível: 17332
Vértice: 213191, Pai: 168138, Nível: 17331
Vértice: 348763, Pai: 202855, Nível: 17370
Vértice: 81091, Pai: 165741, Nível: 17409
Vértice: 47667, Pai: 239689, Nível: 17421
Vértice: 313697, Pai: 252066, Nível: 17466
Vértice: 17160, Pai: 339263, Nível: 17626
Vértice: 251033, Pai: 298256, Nível: 17653
Vértice: 328587, Pai: 259536, Nível: 17696
Vértice: 65016, Pai: 253518, Nível: 17858
Vértice: 253518, Pai: 184335, Nível: 17857
Vértice: 184335, Pai: 134702, Nível: 17856
Vértice: 44582, Pai: 366529, Nível: 17875
Vértice: 181441, Pai: 353721, Nível: 17921
Vértice: 353721, Pai: 69957, Nível: 17920
Vértice: 217158, Pai: 142561, Nível: 18101
Vértice: 142561, Pai: 15243, Nível: 18100
Vértice: 15243, Pai: 212246, Nível: 18099
Vértice: 347224, Pai: 167887, Nível: 18103
Vértice: 167887, Pai: 205684, Nível: 18102
Vértice: 144267, Pai: 205684, Nível: 18102
Vértice: 151491, Pai: 363485, Nível: 18117
Vértice: 248858, Pai: 225400, Nível: 18225
Vértice: 372440, Pai: 98884, Nível: 18264
Vértice: 98884, Pai: 118682, Nível: 18263
Vértice: 118682, Pai: 134202, Nível: 18262
Vértice: 288834, Pai: 235064, Nível: 18323
Vértice: 235064, Pai: 253666, Nível: 18322
Vértice: 253666, Pai: 193418, Nível: 18321
Vértice: 193418, Pai: 30685, Nível: 18320
Vértice: 1926, Pai: 12725, Nível: 18388
Vértice: 12725, Pai: 42873, Nível: 18387
Vértice: 42873, Pai: 20434, Nível: 18386
Vértice: 46100, Pai: 81951, Nível: 18414
Vértice: 107027, Pai: 10930, Nível: 18476
