Vértice: 25405, Pai: 42078, Nível: 1825
Vértice: 34251, Pai: 21497, Nível: 1939
Vértice: 10721, Pai: 10851, Nível: 1966
Vértice: 15157, Pai: 43575, Nível: 1980
Vértice: 31813, Pai: 28175, Nível: 2047
Vértice: 31990, Pai: 16910, Nível: 2067
Vértice: 1974, Pai: 41017, Nível: 2068
Vértice: 1032, Pai: 25331, Nível: 2069
Vértice: 48348, Pai: 25331, Nível: 2069
Vértice: 25331, Pai: 41017, Nível: 2068
Vértice: 41017, Pai: 16910, Nível: 2067
Vértice: 3811, Pai: 25346, Nível: 2068
Vértice: 13768, Pai: 12423, Nível: 2071
Vértice: 12734, Pai: 942, Nível: 2125
Vértice: 32638, Pai: 20766, Nível: 2213
Vértice: 22998, Pai: 11909, Nível: 2216
Vértice: 14378, Pai: 11909, Nível: 2216
Vértice: 25204, Pai: 108, Nível: 2255
Vértice: 11740, Pai: 34077, Nível: 2313
Vértice: 15573, Pai: 14598, Nível: 2358
Vértice: 25510, Pai: 46430, Nível: 2393
Vértice: 46430, Pai: 46833, Nível: 2392
Vértice: 46833, Pai: 19262, Nível: 2391
Vértice: 29943, Pai: 45414, Nível: 2396
Vértice: 45414, Pai: 22908, Nível: 2395
Vértice: 16105, Pai: 34095, Nível: 2402
Vértice: 7019, Pai: 48304, Nível: 2415
Vértice: 48304, Pai: 33451, Nível: 2414
Vértice: 42163, Pai: 31102, Nível: 2427
Vértice: 49265, Pai: 44659, Nível: 2433
Vértice: 10404, Pai: 11181, Nível: 2442
Vértice: 28194, Pai: 34431, Nível: 2465
Vértice: 16974, Pai: 44569, Nível: 2469
Vértice: 44569, Pai: 4953, Nível: 2468
Vértice: 48387, Pai: 3061, Nível: 2474
Vértice: 3061, Pai: 28316, Nível: 2473
Vértice: 28316, Pai: 30961, Nível: 2472
Vértice: 26635, Pai: 39028, Nível: 2505
Vértice: 8905, Pai: 32760, Nível: 2518
Vértice: 32760, Pai: 2717, Nível: 2517
Vértice: 2717, Pai: 3502, Nível: 2516
Vértice: 11217, Pai: 48562, Nível: 2524
Vértice: 8126, Pai: 13591, Nível: 2526
Vértice: 9707, Pai: 8200, Nível: 2532
Vértice: 8200, Pai: 34971, Nível: 2531
Vértice: 25806, Pai: 21725, Nível: 2540
Vértice: 21725, Pai: 46678, Nível: 2539
Vértice: 17373, Pai: 24301, Nível: 2549
Vértice: 2655, Pai: 39810, Nível: 2576
Vértice: 24821, Pai: 20411, Nível: 2579
Vértice: 40720, Pai: 46571, Nível: 2581
Vértice: 47932, Pai: 46571, Nível: 2581
Vértice: 46571, Pai: 8090, Nível: 2580
Vértice: 29058, Pai: 8090, Nível: 2580
Vértice: 38725, Pai: 8090, Nível: 2580
Vértice: 8090, Pai: 20411, Nível: 2579
Vértice: 42298, Pai: 20411, Nível: 2579
Vértice: 39296, Pai: 45396, Nível: 2585
Vértice: 117, Pai: 10377, Nível: 2589
Vértice: 14064, Pai: 20800, Nível: 2605
Vértice: 24970, Pai: 23221, Nível: 2609
Vértice: 23221, Pai: 18924, Nível: 2608
Vértice: 43543, Pai: 18924, Nível: 2608
Vértice: 18924, Pai: 16776, Nível: 2607
Vértice: 16776, Pai: 31238, Nível: 2606
Vértice: 31238, Pai: 20800, Nível: 2605
Vértice: 36027, Pai: 28325, Nível: 2625
Vértice: 23922, Pai: 22572, Nível: 2631
Vértice: 9164, Pai: 22572, Nível: 2631
Vértice: 45040, Pai: 43120, Nível: 2638
Vértice: 18779, Pai: 37541, Nível: 2652
Vértice: 38169, Pai: 32653, Nível: 2654
Vértice: 8141, Pai: 4804, Nível: 2656
Vértice: 6887, Pai: 32260, Nível: 2668
Vértice: 28240, Pai: 28220, Nível: 2673
Vértice: 22672, Pai: 28220, Nível: 2673
Vértice: 37753, Pai: 28220, Nível: 2673
Vértice: 28220, Pai: 2696, Nível: 2672
Vértice: 2696, Pai: 46711, Nível: 2671
Vértice: 12442, Pai: 46711, Nível: 2671
Vértice: 32153, Pai: 17210, Nível: 2672
Vértice: 11648, Pai: 24038, Nível: 2674
Vértice: 24038, Pai: 4265, Nível: 2673
Vértice: 4265, Pai: 17210, Nível: 2672
Vértice: 17210, Pai: 46711, Nível: 2671
Vértice: 46711, Pai: 3370, Nível: 2670
Vértice: 3809, Pai: 22649, Nível: 2671
Vértice: 22649, Pai: 3370, Nível: 2670
Vértice: 3370, Pai: 44801, Nível: 2669
Vértice: 44801, Pai: 32260, Nível: 2668
Vértice: 24089, Pai: 33899, Nível: 2670
Vértice: 33899, Pai: 1493, Nível: 2669
Vértice: 1493, Pai: 32260, Nível: 2668
Vértice: 32260, Pai: 5922, Nível: 2667
Vértice: 27122, Pai: 25359, Nível: 2669
Vértice: 6696, Pai: 36517, Nível: 2677
Vértice: 25380, Pai: 9565, Nível: 2680
Vértice: 9565, Pai: 30043, Nível: 2679
Vértice: 30043, Pai: 36435, Nível: 2678
Vértice: 35305, Pai: 30957, Nível: 2682
Vértice: 26007, Pai: 631, Nível: 2687
Vértice: 631, Pai: 32005, Nível: 2686
Vértice: 32005, Pai: 8073, Nível: 2685
Vértice: 33077, Pai: 45003, Nível: 2686
Vértice: 45003, Pai: 8073, Nível: 2685
Vértice: 8073, Pai: 39923, Nível: 2684
Vértice: 39923, Pai: 43704, Nível: 2683
Vértice: 43704, Pai: 30957, Nível: 2682
Vértice: 30622, Pai: 39390, Nível: 2686
Vértice: 39390, Pai: 36597, Nível: 2685
Vértice: 36597, Pai: 44453, Nível: 2684
Vértice: 44453, Pai: 45035, Nível: 2683
Vértice: 26480, Pai: 45035, Nível: 2683
Vértice: 45035, Pai: 30957, Nível: 2682
Vértice: 34282, Pai: 38308, Nível: 2688
Vértice: 49343, Pai: 38308, Nível: 2688
Vértice: 38308, Pai: 19667, Nível: 2687
Vértice: 22627, Pai: 9720, Nível: 2688
Vértice: 9720, Pai: 19667, Nível: 2687
Vértice: 19667, Pai: 24532, Nível: 2686
Vértice: 24532, Pai: 35808, Nível: 2685
Vértice: 49603, Pai: 35808, Nível: 2685
Vértice: 10994, Pai: 37290, Nível: 2691
Vértice: 37290, Pai: 29435, Nível: 2690
Vértice: 35725, Pai: 29435, Nível: 2690
Vértice: 29435, Pai: 12008, Nível: 2689
Vértice: 20421, Pai: 12008, Nível: 2689
Vértice: 12008, Pai: 10785, Nível: 2688
Vértice: 12747, Pai: 10785, Nível: 2688
Vértice: 14949, Pai: 48307, Nível: 2689
Vértice: 4489, Pai: 11726, Nível: 2692
Vértice: 11726, Pai: 30814, Nível: 2691
Vértice: 21294, Pai: 38857, Nível: 2693
Vértice: 2610, Pai: 38857, Nível: 2693
Vértice: 17171, Pai: 40697, Nível: 2694
Vértice: 49787, Pai: 17416, Nível: 2696
Vértice: 17416, Pai: 26383, Nível: 2695
Vértice: 26383, Pai: 40697, Nível: 2694
Vértice: 40697, Pai: 38857, Nível: 2693
Vértice: 34302, Pai: 23131, Nível: 2699
Vértice: 9596, Pai: 831, Nível: 2702
Vértice: 831, Pai: 3847, Nível: 2701
Vértice: 9799, Pai: 30150, Nível: 2705
Vértice: 30150, Pai: 20553, Nível: 2704
Vértice: 20553, Pai: 1997, Nível: 2703
Vértice: 1997, Pai: 1066, Nível: 2702
Vértice: 1066, Pai: 3847, Nível: 2701
Vértice: 3847, Pai: 34379, Nível: 2700
Vértice: 34379, Pai: 23131, Nível: 2699
Vértice: 46851, Pai: 10095, Nível: 2708
Vértice: 10095, Pai: 2583, Nível: 2707
Vértice: 21624, Pai: 2583, Nível: 2707
Vértice: 2583, Pai: 14969, Nível: 2706
Vértice: 9490, Pai: 45804, Nível: 2708
Vértice: 18735, Pai: 45804, Nível: 2708
Vértice: 45804, Pai: 18631, Nível: 2707
Vértice: 30783, Pai: 20888, Nível: 2709
Vértice: 20888, Pai: 21195, Nível: 2708
Vértice: 21195, Pai: 18631, Nível: 2707
Vértice: 18631, Pai: 14969, Nível: 2706
Vértice: 14969, Pai: 45977, Nível: 2705
Vértice: 45977, Pai: 20880, Nível: 2704
Vértice: 20880, Pai: 11225, Nível: 2703
Vértice: 11225, Pai: 9919, Nível: 2702
Vértice: 9919, Pai: 42302, Nível: 2701
Vértice: 42302, Pai: 40392, Nível: 2700
Vértice: 13181, Pai: 41338, Nível: 2702
Vértice: 41338, Pai: 24678, Nível: 2701
Vértice: 24678, Pai: 40392, Nível: 2700
Vértice: 11975, Pai: 40392, Nível: 2700
Vértice: 40392, Pai: 23131, Nível: 2699
Vértice: 23131, Pai: 17305, Nível: 2698
Vértice: 38625, Pai: 19580, Nível: 2701
Vértice: 19580, Pai: 49222, Nível: 2700
Vértice: 10283, Pai: 1864, Nível: 2707
Vértice: 1864, Pai: 48467, Nível: 2706
Vértice: 48467, Pai: 39774, Nível: 2705
Vértice: 39774, Pai: 16154, Nível: 2704
Vértice: 32615, Pai: 16154, Nível: 2704
Vértice: 16154, Pai: 5923, Nível: 2703
Vértice: 5923, Pai: 43065, Nível: 2702
Vértice: 43065, Pai: 11023, Nível: 2701
Vértice: 8925, Pai: 11023, Nível: 2701
Vértice: 11023, Pai: 49222, Nível: 2700
Vértice: 49222, Pai: 45550, Nível: 2699
Vértice: 45550, Pai: 17305, Nível: 2698
Vértice: 17305, Pai: 46606, Nível: 2697
Vértice: 48960, Pai: 24177, Nível: 2698
Vértice: 24177, Pai: 46606, Nível: 2697
Vértice: 46606, Pai: 8276, Nível: 2696
Vértice: 8276, Pai: 17984, Nível: 2695
Vértice: 25725, Pai: 1014, Nível: 2699
Vértice: 1014, Pai: 36119, Nível: 2698
Vértice: 36119, Pai: 33260, Nível: 2697
Vértice: 22411, Pai: 33260, Nível: 2697
Vértice: 33260, Pai: 14175, Nível: 2696
Vértice: 14175, Pai: 17984, Nível: 2695
Vértice: 9726, Pai: 35921, Nível: 2696
Vértice: 35921, Pai: 17984, Nível: 2695
Vértice: 17984, Pai: 37242, Nível: 2694
Vértice: 37242, Pai: 38857, Nível: 2693
Vértice: 38857, Pai: 28173, Nível: 2692
Vértice: 44617, Pai: 17664, Nível: 2693
Vértice: 5529, Pai: 33866, Nível: 2695
Vértice: 37745, Pai: 38486, Nível: 2698
Vértice: 38486, Pai: 28421, Nível: 2697
Vértice: 31170, Pai: 28421, Nível: 2697
Vértice: 28421, Pai: 14242, Nível: 2696
Vértice: 17566, Pai: 14242, Nível: 2696
Vértice: 14242, Pai: 33866, Nível: 2695
Vértice: 33866, Pai: 26595, Nível: 2694
Vértice: 26595, Pai: 17664, Nível: 2693
Vértice: 44654, Pai: 19443, Nível: 2696
Vértice: 3659, Pai: 31307, Nível: 2702
Vértice: 31307, Pai: 37460, Nível: 2701
Vértice: 36147, Pai: 30691, Nível: 2702
Vértice: 31529, Pai: 30691, Nível: 2702
Vértice: 39259, Pai: 30691, Nível: 2702
Vértice: 30691, Pai: 37460, Nível: 2701
Vértice: 37460, Pai: 17553, Nível: 2700
Vértice: 17553, Pai: 16645, Nível: 2699
Vértice: 16645, Pai: 35806, Nível: 2698
Vértice: 43986, Pai: 1701, Nível: 2700
Vértice: 6105, Pai: 37546, Nível: 2701
Vértice: 37546, Pai: 1701, Nível: 2700
Vértice: 1701, Pai: 31820, Nível: 2699
Vértice: 31820, Pai: 35806, Nível: 2698
Vértice: 35806, Pai: 5959, Nível: 2697
Vértice: 5959, Pai: 19443, Nível: 2696
Vértice: 19443, Pai: 25994, Nível: 2695
Vértice: 25994, Pai: 15300, Nível: 2694
Vértice: 40069, Pai: 15300, Nível: 2694
Vértice: 15300, Pai: 17664, Nível: 2693
Vértice: 21979, Pai: 29879, Nível: 2698
Vértice: 29879, Pai: 40576, Nível: 2697
Vértice: 40576, Pai: 7638, Nível: 2696
Vértice: 21217, Pai: 13408, Nível: 2697
Vértice: 13408, Pai: 7638, Nível: 2696
Vértice: 7638, Pai: 26867, Nível: 2695
Vértice: 26867, Pai: 10577, Nível: 2694
Vértice: 10577, Pai: 17664, Nível: 2693
Vértice: 17664, Pai: 28173, Nível: 2692
Vértice: 13904, Pai: 22126, Nível: 2693
Vértice: 22126, Pai: 28173, Nível: 2692
Vértice: 28173, Pai: 30814, Nível: 2691
Vértice: 30814, Pai: 2450, Nível: 2690
Vértice: 40790, Pai: 21405, Nível: 2691
Vértice: 21405, Pai: 2450, Nível: 2690
Vértice: 45163, Pai: 41493, Nível: 2691
Vértice: 41493, Pai: 2450, Nível: 2690
Vértice: 2450, Pai: 48307, Nível: 2689
Vértice: 48307, Pai: 10785, Nível: 2688
Vértice: 10785, Pai: 26647, Nível: 2687
Vértice: 26647, Pai: 15965, Nível: 2686
Vértice: 42079, Pai: 17033, Nível: 2688
Vértice: 17033, Pai: 25310, Nível: 2687
Vértice: 43067, Pai: 25310, Nível: 2687
Vértice: 25310, Pai: 15965, Nível: 2686
Vértice: 15965, Pai: 35808, Nível: 2685
Vértice: 35808, Pai: 30402, Nível: 2684
Vértice: 40375, Pai: 11058, Nível: 2686
Vértice: 29078, Pai: 11058, Nível: 2686
Vértice: 11058, Pai: 14516, Nível: 2685
Vértice: 14516, Pai: 30402, Nível: 2684
Vértice: 26710, Pai: 30402, Nível: 2684
Vértice: 30402, Pai: 5733, Nível: 2683
Vértice: 6894, Pai: 5733, Nível: 2683
Vértice: 5733, Pai: 30957, Nível: 2682
Vértice: 30957, Pai: 7087, Nível: 2681
Vértice: 32470, Pai: 7087, Nível: 2681
Vértice: 12341, Pai: 33786, Nível: 2684
Vértice: 33786, Pai: 44975, Nível: 2683
Vértice: 44975, Pai: 24825, Nível: 2682
Vértice: 24825, Pai: 7087, Nível: 2681
Vértice: 7087, Pai: 25042, Nível: 2680
Vértice: 25042, Pai: 6211, Nível: 2679
Vértice: 27169, Pai: 6211, Nível: 2679
Vértice: 6211, Pai: 36435, Nível: 2678
Vértice: 6681, Pai: 41540, Nível: 2680
Vértice: 41540, Pai: 27725, Nível: 2679
Vértice: 49586, Pai: 27725, Nível: 2679
Vértice: 27725, Pai: 36435, Nível: 2678
Vértice: 36435, Pai: 36517, Nível: 2677
Vértice: 36517, Pai: 15518, Nível: 2676
Vértice: 18393, Pai: 39591, Nível: 2677
Vértice: 39591, Pai: 15518, Nível: 2676
Vértice: 15518, Pai: 10381, Nível: 2675
Vértice: 10381, Pai: 46548, Nível: 2674
Vértice: 46548, Pai: 14196, Nível: 2673
Vértice: 36442, Pai: 27690, Nível: 2677
Vértice: 8584, Pai: 4613, Nível: 2680
Vértice: 4613, Pai: 3812, Nível: 2679
Vértice: 3812, Pai: 35963, Nível: 2678
Vértice: 15252, Pai: 24286, Nível: 2681
Vértice: 24286, Pai: 7882, Nível: 2680
Vértice: 35647, Pai: 32197, Nível: 2682
Vértice: 32197, Pai: 6392, Nível: 2681
Vértice: 6392, Pai: 7882, Nível: 2680
Vértice: 7882, Pai: 9785, Nível: 2679
Vértice: 9785, Pai: 35963, Nível: 2678
Vértice: 35963, Pai: 27690, Nível: 2677
Vértice: 27690, Pai: 15949, Nível: 2676
Vértice: 41403, Pai: 15949, Nível: 2676
Vértice: 15949, Pai: 16189, Nível: 2675
Vértice: 16189, Pai: 45962, Nível: 2674
Vértice: 45962, Pai: 14196, Nível: 2673
Vértice: 14196, Pai: 13869, Nível: 2672
Vértice: 13869, Pai: 39700, Nível: 2671
Vértice: 39700, Pai: 23673, Nível: 2670
Vértice: 23673, Pai: 25359, Nível: 2669
Vértice: 25359, Pai: 26490, Nível: 2668
Vértice: 37262, Pai: 26490, Nível: 2668
Vértice: 26490, Pai: 5922, Nível: 2667
Vértice: 5922, Pai: 4404, Nível: 2666
Vértice: 4404, Pai: 42815, Nível: 2665
Vértice: 42815, Pai: 32877, Nível: 2664
Vértice: 11503, Pai: 32877, Nível: 2664
Vértice: 32877, Pai: 41762, Nível: 2663
Vértice: 41762, Pai: 43728, Nível: 2662
Vértice: 43736, Pai: 3510, Nível: 2663
Vértice: 3510, Pai: 43728, Nível: 2662
Vértice: 43728, Pai: 27777, Nível: 2661
Vértice: 27700, Pai: 27777, Nível: 2661
Vértice: 27777, Pai: 6009, Nível: 2660
Vértice: 6009, Pai: 33541, Nível: 2659
Vértice: 33541, Pai: 21587, Nível: 2658
Vértice: 47205, Pai: 46428, Nível: 2659
Vértice: 46428, Pai: 21587, Nível: 2658
Vértice: 21587, Pai: 14461, Nível: 2657
Vértice: 14461, Pai: 4804, Nível: 2656
Vértice: 4804, Pai: 46248, Nível: 2655
Vértice: 46248, Pai: 32653, Nível: 2654
Vértice: 32653, Pai: 21332, Nível: 2653
Vértice: 21332, Pai: 37541, Nível: 2652
Vértice: 37541, Pai: 46179, Nível: 2651
Vértice: 46179, Pai: 37716, Nível: 2650
Vértice: 37716, Pai: 28109, Nível: 2649
Vértice: 28109, Pai: 41708, Nível: 2648
Vértice: 28250, Pai: 41708, Nível: 2648
Vértice: 41708, Pai: 30891, Nível: 2647
Vértice: 30891, Pai: 24999, Nível: 2646
